Name,MinProjectSize,Wage,Team-Size,Website,location
Origin Films,$1000+,$150 - $199 / hr,Size : 2 - 9,http://www.originfilms.ca/?utm_source=clutch.co&utm_medium=referral,Toronto  Canada
Signature Video Group,$10000+,Undisclosed,Size : 2 - 9,https://www.signaturevideogroup.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory,Toronto  Canada
Archipelago Productions,$5000+,Undisclosed,Size : 2 - 9,https://www.archipelagoproductions.ca/services/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory,Toronto  Canada
Explainify,$10000+,$150 - $199 / hr,Size : 10 - 49,https://explainify.com/?utm_source=clutch&utm_medium=referral,Fayetteville  AR
Rocketwheel,$10000+,$100 - $149 / hr,Size : 2 - 9,https://rocketwheel.com/?utm_source=clutch.co&utm_medium=referral,San Francisco  CA
BKDSN,$5000+,$100 - $149 / hr,Size : 2 - 9,http://www.bkdsn.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory,Montréal  Canada
Key West Video Inc.,$1000+,Undisclosed,Size : 10 - 49,https://www.keywestvideo.com/?utm_source=clutch.co&utm_medium=referral,Toronto  Canada
VCM Interactive Inc.,$1000+,$100 - $149 / hr,Size : 2 - 9,https://www.vcminteractive.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory,Mississauga  Canada
Momentumm Digital,$1000+,$100 - $149 / hr,Size : 2 - 9,https://momentumm.co/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory,Montréal  Canada
Bujou Creative,$1000+,$100 - $149 / hr,Size : 10 - 49,http://www.bujou.ca/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory,Calgary  Canada
Six Degrees Productions,$1000+,$50 - $99 / hr,Size : 2 - 9,https://sixdegreesproductions.ca/,Vancouver  Canada
Oranje,$5000+,$100 - $149 / hr,Size : 10 - 49,http://www.oranje.io,Vallée-Jonction  Canada
Creamy Animation,$5000+,$100 - $149 / hr,Size : 10 - 49,https://creamyanimation.com,Vancouver  Canada
Great Things Studios,$5000+,$150 - $199 / hr,Size : 2 - 9,https://514gt.com,Montréal  Canada
Switch Video,$10000+,$150 - $199 / hr,Size : 10 - 49,http://www.switchvideo.com,Collingwood  Canada
Simple Story Videos,$10000+,Undisclosed,Size : 10 - 49,http://simplestoryvideos.com,Ottawa  Canada
Symbol Syndication,$1000+,Undisclosed,Size : 2 - 9,http://www.symbolsyndication.com,Calgary  Canada
Your Story Agency,$5000+,$100 - $149 / hr,Size : 2 - 9,http://www.your-story.agency,Vancouver  Canada
Mission + Theory,$5000+,Undisclosed,Size : 2 - 9,http://www.missionandtheory.com,Ottawa  Canada
Black Box Productions,$5000+,Undisclosed,Size : 2 - 9,http://www.blackboxproductions.tv/,Montréal  Canada
Cloud in the Sky Studios,$10000+,Undisclosed,Size : 10 - 49,http://cloudintheskystudios.com,Ottawa  Canada
Dancing Line Productions,$10000+,$50 - $99 / hr,Size : 2 - 9,http://www.dancinglineproductions.com,Vancouver  Canada
IND Films,$5000+,$150 - $199 / hr,Size : 2 - 9,https://indfilms.ca,Montréal  Canada
Cat Around Films,$1000+,$100 - $149 / hr,Size : 2 - 9,http://cataroundfilms.com/,Montréal  Canada
REBL HOUSE INC.,$10000+,Undisclosed,Size : 10 - 49,https://www.reblhouse.com/,Montréal  Canada
Intangible,$5000+,$100 - $149 / hr,Size : 2 - 9,http://intangible.co,Toronto  Canada
Picture This Productions,$5000+,Undisclosed,Size : 2 - 9,http://www.picturethis.ca/,Montréal  Canada
Stature Films,$5000+,Undisclosed,Size : 2 - 9,http://www.staturefilms.com,Toronto  Canada
Minifridge Media,$10000+,$100 - $149 / hr,Size : 2 - 9,http://www.minifridgemedia.com,Toronto  Canada
Rubicon Video Service,$1000+,Undisclosed,Size : 10 - 49,http://www.videorubicon.com,Montréal  Canada
Ajax Creative,$10000+,Undisclosed,Size : 2 - 9,http://ajaxcreative.com/?utm_source=clutch.co&utm_medium=referral,Ottawa  Canada
Exaltus,$5000+,Undisclosed,Size : 2 - 9,https://www.exaltus.ca/,Montréal  Canada
Angry Whale Media,$5000+,Undisclosed,Size : 2 - 9,http://awmedia.ca,Mount Albert  Canada
Skylight Productions,$5000+,Undisclosed,Size : 2 - 9,http://www.skylightproductions.ca,St. Jacobs  Canada
Bolan Creative,$5000+,Undisclosed,Size : 2 - 9,http://bolancreative.com,Toronto  Canada
BuzzMasters,$5000+,$50 - $99 / hr,Size : 10 - 49,https://www.buzzmasters.ca/,North Bay  Canada
Jayme Cowley Media Co.,$5000+,$100 - $149 / hr,Size : 2 - 9,http://www.jaymecowleymedia.co,Burnaby  Canada
Moveo Productions,$1000+,Undisclosed,Size : 2 - 9,http://www.moveoproductions.com,Montréal  Canada
Dream Farm Studios,$10000+,$300+ / hr,Size : 50 - 249,http://dreamfarmstudios.com,Toronto  Canada
Image Inventions,$1000+,$100 - $149 / hr,Size : 2 - 9,https://www.imageinventions.com,Calgary  Canada
Blue Chip Productions Inc.,$1000+,$50 - $99 / hr,Size : 2 - 9,http://www.bluechipproductions.ca/,North Vancouver  Canada
Winter Summer Media,$1000+,$100 - $149 / hr,Size : 2 - 9,http://wintersummer.ca/?utm_source=clutch.co&utm_medium=referral,Montreal  Canada
Timelapse Film Media House Inc.,$10000+,Undisclosed,Size : 2 - 9,http://timelapsefilm.ca,Vancouver  Canada
Route Eleven,$10000+,Undisclosed,Size : 2 - 9,http://www.routeeleven.com,Toronto  Canada
K&F Video Productions,$1000+,$100 - $149 / hr,Size : 2 - 9,https://www.kfvideo.ca/,Toronto  Canada
Staggering Media,$1000+,Undisclosed,Size : 2 - 9,http://staggeringmedia.com/,Vancouver  Canada
Sailfin Productions,$1000+,Undisclosed,Size : 2 - 9,http://www.sailfinproductions.com,Toronto  Canada
Erik Johnson Film,$10000+,Undisclosed,Size : 2 - 9,https://www.erikjohnsonfilm.com/,Calgary  Canada
Maven Media Group,$5000+,$100 - $149 / hr,Size : 10 - 49,https://mavenmediagroup.ca,Calgary  Canada
THP,Undisclosed,Undisclosed,Size : 50 - 249,http://www.thpcreates.com,Toronto  Canada
Kimp.io,Undisclosed,< $25 / hr,Size : 50 - 249,http://www.kimp.io,Markham  Canada
Black Hawk,$5000+,$100 - $149 / hr,Size : 2 - 9,https://www.blackhawkdigital.co,Mississauga  Canada
ArtClip,$1000+,$50 - $99 / hr,Size : Freelancer,https://artclip.ca/,Toronto  Canada
Toast Studio,$25000+,$100 - $149 / hr,Size : 10 - 49,https://www.gotoast.ca,Montreal  Canada
By The Booth,$50000+,Undisclosed,Size : 2 - 9,http://www.bythebooth.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory,Toronto  Canada
Social Hero,$5000+,$100 - $149 / hr,Size : 10 - 49,https://socialhero.ca,Edmonton  Canada
FEAST,$5000+,$100 - $149 / hr,Size : 10 - 49,http://feastinteractive.com,Markham  Canada
Dreww,$25000+,$150 - $199 / hr,Size : 2 - 9,http://dreww.ca,Montréal  Canada
YYC3 Marketing,$1000+,$100 - $149 / hr,Size : 2 - 9,http://yycthree.com,Calgary  Canada
func.media,$10000+,$100 - $149 / hr,Size : 10 - 49,http://www.func.media,Toronto  Canada
Thirdperson.ca,$10000+,$100 - $149 / hr,Size : 2 - 9,http://thirdperson.ca,Oakville  Canada
Agency Media,$1000+,Undisclosed,Size : 10 - 49,https://agency.media/,Surrey  Canada
SAVIAN,$10000+,$100 - $149 / hr,Size : 2 - 9,https://savian.ca,Edmonton  Canada
Awesome Web Designs,$1000+,$25 - $49 / hr,Size : 2 - 9,https://awesomewebdesigns.ca/,Toronto  Canada
Label 428,$25000+,Undisclosed,Size : 2 - 9,http://www.label428.com,Toronto  Canada
Token Creative Services,$10000+,$50 - $99 / hr,Size : 10 - 49,https://tokencs.ca/contact-us/,Kitchener  Canada
Loopmedia,$25000+,$150 - $199 / hr,Size : 10 - 49,http://www.loopmedia.com,Toronto  Canada
Something Great Marketing,$1000+,$100 - $149 / hr,Size : 2 - 9,https://www.getsomethinggreat.com/?utm_source=clutch.co&utm_medium=referral,Denver  CO
smart collective inc.,$1000+,Undisclosed,Size : 2 - 9,https://smartissimple.ca,Toronto  Canada
Toronto Creatives,$10000+,$100 - $149 / hr,Size : 2 - 9,https://torontocreatives.com/,Toronto  Canada
44 North Digital Marketing,$5000+,$100 - $149 / hr,Size : 2 - 9,https://fortyfournorth.ca,London  Canada
Grid Communications,$5000+,$100 - $149 / hr,Size : 2 - 9,http://gridagencyinc.ca,Toronto  Canada
Orkestra,Undisclosed,Undisclosed,Size : 10 - 49,https://orkestra.ca/en/homepage,Gatineau  Canada
Pixelcarve Inc.,$25000+,$150 - $199 / hr,Size : 10 - 49,https://pixelcarve.com/,Toronto  Canada
BrainWorks - The Growth Agency,$10000+,$150 - $199 / hr,Size : 10 - 49,http://www.brainworksmarketing.ca,Moncton  Canada
MVMNT Media,$1000+,$100 - $149 / hr,Size : 2 - 9,http://www.mvmntmedia.ca,Calgary  Canada
Blitz Marketing,$5000+,$100 - $149 / hr,Size : 10 - 49,https://www.blitzmarketing.co/,Toronto  Canada
Intrigue,$25000+,Undisclosed,Size : 10 - 49,http://www.intrigueme.ca,Guelph  Canada
Ballistic Arts,$5000+,$150 - $199 / hr,Size : 10 - 49,https://ballisticarts.com/,Coquitlam  Canada
Every IT Solution Inc,$1000+,$50 - $99 / hr,Size : 10 - 49,https://everyitsolution.com/,Brampton  Canada
Enable X,$1000+,$50 - $99 / hr,Size : 2 - 9,https://enablex.ca,Toronto  Canada
Trafix,$1000+,$25 - $49 / hr,Size : 2 - 9,http://Trafix.ca,Montréal  Canada
Masse Digital,$1000+,$100 - $149 / hr,Size : 2 - 9,https://www.masse.digital,Montréal  Canada
ELK MKTG,$1000+,$100 - $149 / hr,Size : 2 - 9,http://www.elkmktg.com,Montréal  Canada
Nura Creative,$1000+,$150 - $199 / hr,Size : 2 - 9,https://www.nuracreative.com/,Vancouver  Canada
Bold x Collective,$1000+,$100 - $149 / hr,Size : 2 - 9,https://www.boldxcollective.com/,Mississauga  Canada
Bizbird,$1000+,$100 - $149 / hr,Size : 2 - 9,https://www.bizbird.co,Toronto  Canada
CG Production Co,$1000+,$50 - $99 / hr,Size : 2 - 9,http://www.cgproductionco.com,Oro Station  Canada
Merge9,$1000+,Undisclosed,Size : 2 - 9,https://www.merge9.ca,Ottawa  Canada
Black Belt Productions,$1000+,$100 - $149 / hr,Size : 2 - 9,https://www.blackbeltproductions.ca/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory,Toronto  Canada
LN Marketing Group Inc.,$1000+,$100 - $149 / hr,Size : 2 - 9,https://www.lnmarketinggroup.ca,Edmonton  Canada
NightSchool Films,$1000+,$100 - $149 / hr,Size : 2 - 9,http://www.nightschoolfilms.com,Calgary  Canada
Wallop,$25000+,$150 - $199 / hr,Size : 10 - 49,http://wallop.ca,Vancouver  Canada
Spring Advertising,$10000+,$150 - $199 / hr,Size : 10 - 49,https://springadvertising.com/#!home,Vancouver  Canada
The Metrick System,$10000+,$150 - $199 / hr,Size : 2 - 9,http://metricksystem.com/,Toronto  Canada
MJM Media,$1000+,$100 - $149 / hr,Size : 10 - 49,http://www.mjmmedia.com,Hamilton  Canada
Antisocial Media Solutions,$5000+,$100 - $149 / hr,Size : 10 - 49,https://antisocialsolutions.com/,Vancouver  Canada
Viva Media Inc.,$5000+,Undisclosed,Size : 2 - 9,http://www.vivamedia.ca,Toronto  Canada
Upperkut,$10000+,$150 - $199 / hr,Size : 10 - 49,http://upperkut.com/,Montréal  Canada
Ove Brand | Design,$10000+,$100 - $149 / hr,Size : 10 - 49,http://ovedesign.com/,Toronto  Canada
ArtX Pro,$1000+,< $25 / hr,Size : 10 - 49,http://www.artxpro.com,Karachi  Pakistan
Celtx,Undisclosed,Undisclosed,Size : 10 - 49,https://www.celtx.com/company.html,St. John's  Canada
National Film Board of Canada,Undisclosed,Undisclosed,Size : 2 - 9,https://www.nfb.ca/,St. John's  Canada
ACTRA,Undisclosed,Undisclosed,Size : 250 - 999,http://www.actra.ca/,St. John's  Canada
Grumo Media,Undisclosed,Undisclosed,Size : 2 - 9,https://grumomedia.com/,Vancouver  Canada
Squeeze Studio,Undisclosed,Undisclosed,Size : 50 - 249,http://www.squeezestudio.com/,Québec  Canada
Media Button,Undisclosed,Undisclosed,Size : 2 - 9,https://mediabutton.com/,Vancouver  Canada
Outreach Productions,Undisclosed,Undisclosed,Size : 10 - 49,https://www.outreachproductions.com,French River  Canada
St. John's International Women's Film Festival,Undisclosed,Undisclosed,Size : 10 - 49,https://www.womensfilmfestival.com/,St. John's  Canada
Basetwo Media,$10000+,$100 - $149 / hr,Size : 2 - 9,http://videoforbusiness.ca,Vancouver  Canada
Again Studios,Undisclosed,Undisclosed,Size : 10 - 49,http://www.againstudios.com/,Toronto  Canada
Newfoundland and Labrador Film Development Corporation,Undisclosed,Undisclosed,Size : 2 - 9,http://www.nlfdc.ca/,St. John's  Canada
Nickel Independent Film Festival,Undisclosed,Undisclosed,Size : 2 - 9,http://nickelfestival.com/,St. John's  Canada
Omnifilm Entertainment Ltd.,Undisclosed,Undisclosed,Size : 10 - 49,https://www.omnifilm.com/home/capabilities,Vancouver  Canada
GSM Project,Undisclosed,Undisclosed,Size : 50 - 249,https://gsmproject.com,Montréal  Canada
Q Media Solutions,Undisclosed,$50 - $99 / hr,Size : 10 - 49,http://qmediasolutions.com/,Toronto  Canada
Epic Video Factory,Undisclosed,Undisclosed,Size : 2 - 9,https://epicvideofactory.com/,Toronto  Canada
NIFCO,Undisclosed,Undisclosed,Size : 2 - 9,http://www.nifco.org/,St. John's  Canada
Screen Siren Pictures Inc.,Undisclosed,Undisclosed,Size : 2 - 9,http://www.screensiren.ca/,Vancouver  Canada
Astrodog Media,$10000+,$150 - $199 / hr,Size : 2 - 9,http://www.astrodogmedia.com,Kitchener  Canada
Rami Films Inc.,$1000+,$100 - $149 / hr,Size : 2 - 9,https://ramifilms.com,Vancouver  Canada
Red Letter Films,Undisclosed,Undisclosed,Size : 10 - 49,https://www.redletterfilms.com/,Surrey  Canada
Spider Video Inc.,$1000+,Undisclosed,Size : 2 - 9,http://spidervideo.tv/,Dartmouth  Canada
Ocean Entertainment Ltd.,Undisclosed,Undisclosed,Size : 2 - 9,http://ocean.ca/,Halifax  Canada
Copernicus Studios Inc.,Undisclosed,Undisclosed,Size : 50 - 249,https://www.copernicusstudios.com/,Halifax  Canada
Tell Tale Productions Inc.,Undisclosed,Undisclosed,Size : 2 - 9,http://www.telltale.tv/,Halifax  Canada
Wonderlust Media Inc.,Undisclosed,Undisclosed,Size : 2 - 9,http://wonderlustmedia.ca/,Halifax  Canada
Pope Productions,Undisclosed,Undisclosed,Size : 2 - 9,http://popeproductions.ca/,St. John's  Canada
Tripwire Media Group,$10000+,Undisclosed,Size : 10 - 49,https://www.tripwiremedia.com/,Winnipeg  Canada
Red Ripley Inc.,Undisclosed,Undisclosed,Size : 10 - 49,https://redripley.com/,Vancouver  Canada
Future’s Past Events,$1000+,$100 - $149 / hr,Size : 2 - 9,https://futurespastevents.ca/,Toronto  Canada
Overseas Video Lab,Undisclosed,Undisclosed,Size : 2 - 9,http://overseasvideolab.com/,Toronto  Canada
Pacific Backlot Services,Undisclosed,Undisclosed,Size : 2 - 9,http://www.pacificbacklot.com/,Vancouver  Canada
Tivoli Films,Undisclosed,Undisclosed,Size : 2 - 9,https://www.tivolifilms.ca/,Elora  Canada
Encounter Studios,Undisclosed,Undisclosed,Size : 2 - 9,https://encounterstudios.ca/,Toronto  Canada
iFX Productions,Undisclosed,Undisclosed,Size : 2 - 9,https://ifxproductions.com/,Québec  Canada
Illustrate It Video,$5000+,Undisclosed,Size : 10 - 49,https://illustrateitvideo.com/,Toronto  Canada
PicsellGlobal,$1000+,$25 - $49 / hr,Size : 2 - 9,https://picsellglobal.com/,Winnipeg  Canada
Sham Video Productions,Undisclosed,Undisclosed,Size : 2 - 9,http://shamvideoproductions.ca/,Surrey  Canada
Clerisy Entertainment,Undisclosed,Undisclosed,Size : 2 - 9,https://www.clerisyentertainment.com/,Dartmouth  Canada
Big Motion Pictures Limited,Undisclosed,Undisclosed,Size : 10 - 49,https://www.bigmotionpictures.com/,Chester  Canada
East Coast Video Productions,Undisclosed,Undisclosed,Size : 2 - 9,http://www.ecvp.com/,Dartmouth  Canada
RPM Productions Inc.,Undisclosed,Undisclosed,Size : 2 - 9,https://www.rpmproductions.tv/,Bedford  Canada
Take the Shot Productions Inc.,Undisclosed,Undisclosed,Size : 10 - 49,http://www.taketheshotproductions.com/,St. John's  Canada
Morag Loves Company,Undisclosed,Undisclosed,Size : 2 - 9,https://morag.ca/,St. John's  Canada
Augusta Production,Undisclosed,Undisclosed,Size : 2 - 9,http://www.augustaproductions.com/,St. John's  Canada
Cedarwood Productions Inc,Undisclosed,Undisclosed,Size : 2 - 9,http://cedarwoodproductions.net,Victoria  Canada
Edge Digital Media,Undisclosed,Undisclosed,Size : 2 - 9,https://www.edgedigital.ca/,Kelowna  Canada
Kalyan Studios,Undisclosed,Undisclosed,Size : 2 - 9,https://kalyanstudios.com/,Victoria  Canada
Vanquished Media,$5000+,$50 - $99 / hr,Size : 2 - 9,https://www.vanquishedmedia.com/,Toronto  Canada
KAV Productions Inc.,Undisclosed,Undisclosed,Size : 2 - 9,https://kav.ca/,Cornwall  Canada
Gardner Productions,Undisclosed,Undisclosed,Size : 10 - 49,https://gardnerproductions.ca/,Toronto  Canada
IDEO Productions,Undisclosed,Undisclosed,Size : 2 - 9,https://productionsideo.com/,Québec  Canada
Cinemetrix Media,$1000+,Undisclosed,Size : 2 - 9,http://www.cinemetrixmedia.com,Vaughan  Canada
2C Media,$5000+,Undisclosed,Size : 10 - 49,https://www.2cmedia.ca/,Calgary  Canada
Twisted Frame,$5000+,$100 - $149 / hr,Size : 2 - 9,https://www.twistedframe.ca/,Toronto  Canada
Atlantic Mediaworks,Undisclosed,Undisclosed,Size : 2 - 9,http://atlanticmediaworks.com/,Fredericton  Canada
Atlas Films,Undisclosed,Undisclosed,Size : 2 - 9,http://atlasfilms.ca,Moncton  Canada
Up Sky Down Films,Undisclosed,Undisclosed,Size : 2 - 9,http://upskydownfilms.com/,St. John's  Canada
